X_Value,Temperature_0,Temperature_1,Temperature_2
64.4,200.147971,236.440876,188.802253
64.5,199.833298,235.839179,188.560754
64.6,199.833298,235.839179,188.560754
64.7,199.833298,235.839179,188.560754
64.8,199.586555,235.302695,188.341924
64.9,199.586555,235.302695,188.341924
65,199.586555,235.302695,188.341924
65.1,199.25922,234.736125,188.106149
65.2,199.25922,234.736125,188.106149
65.3,199.25922,234.736125,188.106149
65.4,198.864871,234.126703,187.882067
65.5,198.864871,234.126703,187.882067
65.6,198.864871,234.126703,187.882067
65.7,198.532257,233.572858,187.573981
65.8,198.532257,233.572858,187.573981
65.9,198.532257,233.572858,187.573981
66,198.295007,233.051482,187.28069
66.1,198.295007,233.051482,187.28069
66.2,198.295007,233.051482,187.28069
66.3,198.099479,232.502365,187.003148
66.4,198.099479,232.502365,187.003148
66.5,198.099479,232.502365,187.003148
66.6,197.974767,232.034638,186.797675
66.7,197.974767,232.034638,186.797675
66.8,197.974767,232.034638,186.797675
66.9,197.959983,231.685442,186.617021
67,197.959983,231.685442,186.617021
67.1,197.959983,231.685442,186.617021
67.2,197.991936,231.375426,186.505574
67.3,197.991936,231.375426,186.505574
67.4,197.991936,231.375426,186.505574
67.5,197.831454,230.733067,186.366444
67.6,197.831454,230.733067,186.366444
67.7,197.831454,230.733067,186.366444
67.8,197.452769,230.012532,186.207268
67.9,197.452769,230.012532,186.207268
68,197.452769,230.012532,186.207268
68.1,197.065005,229.476023,186.106799
68.2,197.065005,229.476023,186.106799
68.3,197.065005,229.476023,186.106799
68.4,196.975334,228.971338,185.978646
68.5,196.975334,228.971338,185.978646
68.6,196.975334,228.971338,185.978646
68.7,196.621414,228.512215,185.84238
68.8,196.621414,228.512215,185.84238
68.9,196.621414,228.512215,185.84238
69,196.312557,228.007587,185.705398
69.1,196.312557,228.007587,185.705398
69.2,196.312557,228.007587,185.705398
69.3,196.086213,227.343126,185.513766
69.4,196.086213,227.343126,185.513766
69.5,196.086213,227.343126,185.513766
69.6,195.643289,226.75662,185.281803
69.7,195.643289,226.75662,185.281803
69.8,195.643289,226.75662,185.281803
69.9,195.157647,226.280556,185.057716
70,195.157647,226.280556,185.057716
70.1,195.157647,226.280556,185.057716
70.2,194.864485,225.837798,184.788049
70.3,194.864485,225.837798,184.788049
70.4,194.864485,225.837798,184.788049
70.5,194.279329,225.320845,184.580191
70.6,194.279329,225.320845,184.580191
70.7,194.279329,225.320845,184.580191
70.8,193.768812,224.800718,184.302174
70.9,193.768812,224.800718,184.302174
71,193.768812,224.800718,184.302174
71.1,193.501378,224.379527,184.017476
71.2,193.501378,224.379527,184.017476
71.3,193.501378,224.379527,184.017476
